%psbl,MaxPoints,Points,HF,Time,A,B,C,D,M,NPM,NS,Proc
76.320000,155.000000,139.000000,6.600200,21.060000,23.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76.230000,155.000000,147.000000,6.591900,22.300000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76.160000,155.000000,147.000000,6.586000,22.320000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76.160000,155.000000,125.000000,6.585900,18.980000,18.000000,0.000000,11.000000,2.000000,0.000000,0.000000,0.000000,0.000000
76.060000,155.000000,137.000000,6.577100,20.830000,23.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
75.870000,155.000000,145.000000,6.561100,22.100000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.850000,155.000000,147.000000,6.559600,22.410000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.840000,155.000000,149.000000,6.558100,22.720000,28.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.740000,155.000000,135.000000,6.550200,20.610000,21.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.710000,155.000000,143.000000,6.547600,21.840000,25.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.700000,155.000000,149.000000,6.546600,22.760000,28.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.650000,155.000000,133.000000,6.542100,20.330000,22.000000,0.000000,7.000000,2.000000,0.000000,0.000000,0.000000,0.000000
75.400000,155.000000,138.000000,6.520600,19.630000,25.000000,0.000000,4.000000,1.000000,1.000000,0.000000,0.000000,0.000000
75.380000,155.000000,141.000000,6.518700,21.630000,26.000000,0.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000
75.370000,155.000000,143.000000,6.517800,21.940000,25.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.340000,155.000000,143.000000,6.514800,21.950000,25.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.330000,155.000000,137.000000,6.514500,21.030000,23.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
75.270000,155.000000,137.000000,6.509500,19.510000,22.000000,0.000000,9.000000,0.000000,0.000000,0.000000,1.000000,0.000000
75.250000,155.000000,138.000000,6.507400,19.670000,24.000000,0.000000,6.000000,0.000000,1.000000,0.000000,0.000000,0.000000
75.240000,155.000000,133.000000,6.506800,20.440000,20.000000,0.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.220000,155.000000,147.000000,6.504400,22.600000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.190000,155.000000,145.000000,6.502200,22.300000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75.100000,155.000000,138.000000,6.494200,19.710000,25.000000,0.000000,4.000000,1.000000,1.000000,0.000000,0.000000,0.000000
75.020000,155.000000,147.000000,6.487200,22.660000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74.920000,155.000000,147.000000,6.478600,22.690000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74.850000,155.000000,147.000000,6.472900,22.710000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74.810000,155.000000,130.000000,6.469000,18.550000,20.000000,0.000000,10.000000,0.000000,1.000000,0.000000,0.000000,0.000000
74.660000,155.000000,141.000000,6.456000,21.840000,24.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74.350000,155.000000,143.000000,6.429900,22.240000,27.000000,0.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000
74.260000,155.000000,147.000000,6.422000,22.890000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.920000,155.000000,143.000000,6.392500,22.370000,25.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.860000,155.000000,151.000000,6.387500,23.640000,29.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.830000,155.000000,139.000000,6.384900,21.770000,23.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.660000,155.000000,149.000000,6.370200,23.390000,29.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
73.480000,155.000000,145.000000,6.354100,22.820000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.440000,155.000000,149.000000,6.351200,23.460000,28.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.400000,155.000000,147.000000,6.347200,23.160000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.310000,155.000000,141.000000,6.339900,22.240000,24.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.270000,155.000000,133.000000,6.336400,20.990000,20.000000,0.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.250000,155.000000,136.000000,6.334800,19.890000,24.000000,0.000000,5.000000,1.000000,1.000000,0.000000,0.000000,0.000000
73.130000,155.000000,139.000000,6.323900,21.980000,25.000000,0.000000,4.000000,2.000000,0.000000,0.000000,0.000000,0.000000
73.100000,155.000000,149.000000,6.321600,23.570000,28.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.050000,155.000000,147.000000,6.317100,23.270000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72.810000,155.000000,147.000000,6.296000,21.760000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,1.000000,0.000000
72.710000,155.000000,145.000000,6.287900,23.060000,27.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
72.710000,155.000000,147.000000,6.287400,23.380000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72.690000,155.000000,151.000000,6.286400,24.020000,29.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72.470000,155.000000,137.000000,6.267200,21.860000,22.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72.430000,155.000000,147.000000,6.263300,23.470000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72.370000,155.000000,141.000000,6.258300,22.530000,24.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72.340000,155.000000,145.000000,6.255400,23.180000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72.270000,155.000000,142.000000,6.250000,21.120000,26.000000,0.000000,4.000000,0.000000,1.000000,0.000000,0.000000,0.000000
72.240000,155.000000,141.000000,6.247000,20.970000,25.000000,0.000000,5.000000,1.000000,0.000000,0.000000,1.000000,0.000000
72.210000,155.000000,139.000000,6.244400,22.260000,23.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72.150000,155.000000,143.000000,6.239100,22.920000,25.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72.050000,155.000000,143.000000,6.230900,22.950000,26.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000
72.040000,155.000000,135.000000,6.229800,21.670000,21.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000
71.870000,155.000000,134.000000,6.215500,19.950000,22.000000,0.000000,8.000000,0.000000,1.000000,0.000000,0.000000,0.000000
71.780000,155.000000,145.000000,6.207200,23.360000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
71.720000,155.000000,145.000000,6.201900,23.380000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
71.630000,155.000000,147.000000,6.194700,23.730000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
71.250000,155.000000,136.000000,6.161400,20.450000,23.000000,0.000000,7.000000,0.000000,1.000000,0.000000,0.000000,0.000000
71.220000,155.000000,143.000000,6.158500,23.220000,26.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000
71.110000,155.000000,141.000000,6.149100,22.930000,25.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
71.080000,155.000000,145.000000,6.146700,23.590000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
71.020000,155.000000,145.000000,6.141500,23.610000,27.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
71.000000,155.000000,149.000000,6.139600,22.640000,28.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.000000,0.000000
70.830000,155.000000,141.000000,6.125100,23.020000,24.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70.770000,155.000000,141.000000,6.119800,23.040000,24.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70.720000,155.000000,145.000000,6.115600,23.710000,27.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
70.620000,155.000000,147.000000,6.107200,24.070000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70.560000,155.000000,139.000000,6.101800,22.780000,24.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
70.480000,155.000000,145.000000,6.095000,23.790000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70.410000,155.000000,137.000000,6.088900,22.500000,23.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
70.410000,155.000000,151.000000,6.088700,24.800000,29.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70.340000,155.000000,143.000000,6.082500,23.510000,25.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70.250000,155.000000,136.000000,6.075200,20.740000,24.000000,0.000000,5.000000,1.000000,1.000000,0.000000,0.000000,0.000000
70.220000,155.000000,139.000000,6.072500,22.890000,23.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70.200000,155.000000,131.000000,6.070400,21.580000,21.000000,0.000000,8.000000,2.000000,0.000000,0.000000,0.000000,0.000000
69.910000,155.000000,133.000000,6.045500,22.000000,20.000000,0.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000
69.890000,155.000000,139.000000,6.043500,23.000000,24.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
69.860000,155.000000,145.000000,6.041700,24.000000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
69.640000,155.000000,147.000000,6.022100,24.410000,27.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
69.550000,155.000000,139.000000,6.014700,23.110000,24.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
69.490000,155.000000,145.000000,6.009100,24.130000,27.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
69.480000,155.000000,143.000000,6.008400,23.800000,25.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000
69.380000,155.000000,136.000000,6.000000,21.000000,24.000000,0.000000,5.000000,1.000000,1.000000,0.000000,0.000000,0.000000
69.370000,155.000000,145.000000,5.999200,24.170000,26.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
69.280000,155.000000,139.000000,5.991400,23.200000,24.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
69.220000,155.000000,143.000000,5.985800,23.890000,26.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000
69.160000,155.000000,139.000000,5.981100,23.240000,24.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
69.150000,155.000000,144.000000,5.979500,22.410000,27.000000,0.000000,3.000000,0.000000,1.000000,0.000000,0.000000,0.000000
69.110000,155.000000,135.000000,5.976100,22.590000,22.000000,0.000000,8.000000,1.000000,0.000000,0.000000,0.000000,0.000000
